Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32278.86854,33744.1088,34544.06065,35957.81597,37683.91771,37470.17387,36784.46079,38202.40775,37810.03482,37171.22043,39001.72707,39920.40401,39073.55574,39115.38237,41591.92035,41019.04207,40994.2489,41745.11594,41986.98033,36629.32785,35227.20734,36073.63943,35410.11592,37406.17352,36558.97284,36099.94264,36504.68873,38868.33392,39597.65988,38511.33688,29236.04726,37333.51568,41273.61505
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3045.457644,2963.585471,2831.236489,2744.839315,2722.151263,2771.429569,2845.890397,2893.97106,2875.397677,2881.016602,2904.554775,2935.739427,2973.923479,2993.961317,3083.930991,3193.960908,3319.497545,3450.14907,3511.132208,3440.124818,3522.497327,3567.519283,3553.263071,3602.676618,3652.772991,3668.400279,3664.810708,3670.972022,3672.750831,3658.128493,3467.4847,3531.172747,3566.269439
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.463171,1292.333437,1260.060581,1352.320627,1366.993146,1528.344578,1556.844452,1823.742614,2026.163818,1961.096317,2122.830759,2165.340915,2144.449634,2108.714173,2101.422187,2096.093111,2060.698973,2079.921861,1968.341002,1516.273265,
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790.264157,2752.715449,2745.707708,2646.355086,2576.7476,2563.405973,2614.006634,2656.292023,2678.386558,2651.371586,2673.409966,2736.054992,2909.803979,2984.554373,3130.106708,3219.470839,3298.758868,3381.24407,3493.268645,3601.140544,3739.313765,3813.424318,3903.405917,4027.814199,4148.495951,4152.506646,4060.345071,4054.572453,4068.321122,4096.827363,3960.847898,4016.874461,4066.48323
Angola,AGO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5793.084512,5659.11933,5158.383835,3799.194899,3728.886199,4149.445734,4557.147774,4728.292342,4790.41861,4739.509639,4728.374368,4768.008894,5241.820587,5217.390519,5589.237936,6204.588752,6677.01974,7340.388909,7866.184344,7646.144358,7689.820735,7663.286053,8011.050095,8099.678828,8183.164577,7966.885556,7487.925098,7216.061373,6878.590025,6602.269211,6029.691895,5911.835657,5906.115677
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4827.051242,3496.386675,3264.836677,3598.827815,3921.634093,4471.623506,4908.956329,4400.334211,4819.091331,5474.87661,5892.610924,6441.472108,6753.914123,7154.030284,7580.165076,8040.120582,8568.591515,9150.161438,9912.196804,10313.952,10749.51884,11052.83183,11228.00516,11361.30789,11586.87395,11878.49552,12291.902,12771.05414,13317.1842,13653.24878,13278.43452,14596.01556,15492.0674
Andorra,AND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9725.492751,9767.682295,9986.829026,9978.113986,9997.402759,10020.17687,10239.88429,10441.53226,10732.84859,10702.94859,11134.32427,11082.36474,10908.71665,11202.01538,11888.64689,12249.66589,12640.78312,12869.68674,13228.52558,12952.243,13221.8328,13382.17043,13802.14805,13850.24821,13886.89646,14162.74877,14402.95118,14350.10269,14436.24419,14371.52362,13479.21042,13780.78097,14366.29925
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109694.5606,104675.7274,102664.1203,98953.20163,100974.7734,103082.1646,103177.7432,104580.4358,98601.87707,95684.28963,100311.7059,96448.14626,93915.92748,97363.62548,101872.1224,99640.69445,95637.41493,82321.44715,71383.04449,59144.14033,56626.73751,59491.37583,59949.24458,62354.8232,64334.09155,68076.63589,71244.58581,71182.37071,71550.55433,71782.15384,67668.28664,70028.02505,74917.67411
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14136.5254,15209.48763,16190.51071,17282.96499,18046.89292,17303.92385,18031.54819,19261.89862,19773.17637,18884.94311,18524.80961,17514.5041,15439.74463,16631.57398,17950.15128,19338.14619,20679.2431,22316.25553,22992.39018,21413.28312,23521.27018,24647.62927,24118.86752,24424.13645,23550.09906,23933.88661,23189.52745,23597.11775,22747.24166,22071.7481,19694.56052,21599.79674,22461.44094
